BUSINESSDATE,CLOSEPRICE,HIGHPRICE,LOWPRICE,TOTALTRADEDQUANTITY,TOTALTRADEDVALUE,TOTALTRADES
7/1/2021,1297,1305,1293,41519,53900000,616
6/30/2021,1296,1315,1232,69882,90200000,638
6/29/2021,1296,1310,1295,62112,80700000,672
6/28/2021,1302,1334,1297,66695,87100000,738
6/27/2021,1298,1306,1250,81126,105000000,966
6/24/2021,1286,1300,1280,80446,103000000,1083
6/23/2021,1291,1362,1288,94681,123000000,1064
6/22/2021,1298,1300,1280,106023,137000000,1285
6/21/2021,1285,1304,1284,129080,166000000,1513
6/20/2021,1297,1312,1290,117221,152000000,1508
6/17/2021,1309,1315,1300,92288,121000000,986
6/16/2021,1308,1340,1303,94402,124000000,1082
6/15/2021,1312,1374,1295,110411,145000000,1114
6/14/2021,1309,1330,1301,176408,231000000,1392
6/13/2021,1304,1312,1300,142630,186000000,1487
6/10/2021,1304,1326,1299,132428,173000000,1410
6/9/2021,1310,1380,1289,148864,196000000,1041
6/8/2021,1315,1321,1307,120498,158000000,1095
6/7/2021,1316,1350,1308,148222,195000000,1473
6/6/2021,1330,1374,1320,193387,257000000,1859
6/3/2021,1309,1321,1255,175139,229000000,1384
6/2/2021,1293,1356,1265,60397,78000000,814
6/1/2021,1292,1356,1265,110156,141000000,1042
5/31/2021,1285,1312,1282,123090,159000000,1121
5/30/2021,1300,1316,1294,90621,118000000,983
5/27/2021,1294,1302,1282,108286,140000000,1277
5/25/2021,1306,1329,1286,85759,112000000,1012
5/24/2021,1320,1377,1310,127131,168000000,1131
5/23/2021,1312,1313,1275,107284,140000000,1095
5/20/2021,1300,1340,1282,65407,85200000,868
5/19/2021,1302,1373,1290,103756,136000000,1187
5/18/2021,1308,1373,1304,73064,95600000,946
5/17/2021,1308,1320,1299,103727,136000000,1379
5/16/2021,1288,1300,1265,165718,213000000,1475
5/13/2021,1267,1270,1260,76245,96300000,741
5/12/2021,1262,1275,1259,94423,119000000,967
5/11/2021,1265,1274,1256,95404,121000000,663
5/10/2021,1260,1273,1255,67445,85100000,631
5/9/2021,1259,1274,1250,94346,119000000,888
5/6/2021,1265,1273,1260,60497,76400000,681
5/5/2021,1266,1290,1265,67433,85600000,651
5/4/2021,1274,1299,1271,80193,102000000,698
5/3/2021,1284,1304,1275,117310,151000000,858
5/2/2021,1275,1295,1265,93567,120000000,976
4/29/2021,1270,1275,1257,75819,96100000,629
4/28/2021,1264,1300,1249,84413,107000000,1039
4/27/2021,1278,1280,1231,107440,136000000,1024
4/26/2021,1231,1281,1230,156529,195000000,1567
4/25/2021,1270,1361,1255,165129,210000000,1611
4/22/2021,1298,1307,1280,125239,162000000,1020
4/21/2021,1295,1380,1290,109757,143000000,1191
4/20/2021,1315,1344,1305,120001,158000000,963
4/19/2021,1318,1345,1310,142149,188000000,1125
4/18/2021,1335,1370,1330,173619,233000000,1424
4/15/2021,1370,1449,1350,168272,232000000,1555
4/13/2021,1380,1381,1281,209373,286000000,1378
4/12/2021,1348,1360,1320,183552,245000000,1194
4/8/2021,1330,1339,1316,136914,182000000,977
4/7/2021,1317,1334,1310,104059,138000000,720
4/6/2021,1311,1324,1300,103143,135000000,830
4/5/2021,1315,1332,1303,117881,156000000,893
4/4/2021,1316,1347,1293,188377,246000000,1284
